Threads,Nodes,Mem,Real_Time,User_Time,Sys_Time,Peak_Mem_KB,CPU_Percent
1,1,1G,1.82,1.41,0.40,14880,99%
2,1,1G,1.36,1.81,0.46,14880,166%
4,1,1G,1.08,2.60,0.43,14880,279%
8,1,1G,1.01,4.28,0.43,14880,466%
16,1,1G,0.97,7.57,0.49,14880,826%
8,2,1G,1.01,4.25,0.46,14880,465%
8,1,512M,1.01,4.27,0.44,14560,466%
8,1,3G,1.01,4.28,0.44,14880,465%
